id,semester,slot_start_date,slot_end_date,location_ar,location_en,slots,type,show,display_order
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 58 - قاعة: 2053,Building: 58 - Room: 2053,20,ENGLISH_SPEAKING_TEST,1,420
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 58 - قاعة: 2057,Building: 58 - Room: 2057,20,ENGLISH_SPEAKING_TEST,1,430
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 58 - قاعة: 2059,Building: 58 - Room: 2059,20,ENGLISH_SPEAKING_TEST,1,440
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 58 - قاعة: 2061,Building: 58 - Room: 2061,20,ENGLISH_SPEAKING_TEST,1,450
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 58 - قاعة: 2063,Building: 58 - Room: 2063,20,ENGLISH_SPEAKING_TEST,1,460
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 58 - قاعة: 3041,Building: 58 - Room: 3041,20,ENGLISH_SPEAKING_TEST,1,470
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 58 - قاعة: 3043,Building: 58 - Room: 3043,20,ENGLISH_SPEAKING_TEST,1,480
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 58 - قاعة: 3047,Building: 58 - Room: 3047,20,ENGLISH_SPEAKING_TEST,1,490
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 58 - قاعة: 3048,Building: 58 - Room: 3048,20,ENGLISH_SPEAKING_TEST,1,500
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 58 - قاعة: 3049,Building: 58 - Room: 3049,20,ENGLISH_SPEAKING_TEST,1,510
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 58 - قاعة: 3050,Building: 58 - Room: 3050,20,ENGLISH_SPEAKING_TEST,1,520
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 58 - قاعة: 3057,Building: 58 - Room: 3057,20,ENGLISH_SPEAKING_TEST,1,530
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 58 - قاعة: 3059,Building: 58 - Room: 3059,20,ENGLISH_SPEAKING_TEST,1,540
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 57 - قاعة: 303,Building: 57 - Room: 303,20,ENGLISH_SPEAKING_TEST,1,550
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 57 - قاعة: 316,Building: 57 - Room: 316,20,ENGLISH_SPEAKING_TEST,1,560
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 57 - قاعة: 317,Building: 57 - Room: 317,20,ENGLISH_SPEAKING_TEST,1,570
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 57 - قاعة: 318,Building: 57 - Room: 318,20,ENGLISH_SPEAKING_TEST,1,580
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 57 - قاعة: 319,Building: 57 - Room: 319,20,ENGLISH_SPEAKING_TEST,1,590
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 57 - قاعة: 321,Building: 57 - Room: 321,20,ENGLISH_SPEAKING_TEST,1,600
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 57 - قاعة: 323,Building: 57 - Room: 323,20,ENGLISH_SPEAKING_TEST,1,610
